"Path","Cat","Reason"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA029-Gesammelte Aufsätze zur Dramaturgie 1889 bis 1900\GA029 (9.) NACHSCHRIFT-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA034-Lucifer-Gnosis 1903 bis 1908\GA034 (2.) LUZIFER-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA034-Lucifer-Gnosis 1903 bis 1908\GA034 (47.) OKKULTE GESCHICHTSFORSCHUNG-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA034-Lucifer-Gnosis 1903 bis 1908\GA034 (58.) Der theosophische Kongress in London-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA040-Wahrspruchworte\GA040 (15.) WIDMUNGSSPRÜCHE-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA044-Entwürfe, Fragmente und Paralipomena zu den vier Mysteriendramen\GA044 (1.) DIE PFORTE DER EINWEIHUNG-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA051-Über Philosophie, Geschichte und Literatur\GA051 (10.) SIEBENTER VORTRAG GESCHICHTE DES MITTELALTERS, Berlin, 13. Dezember 1904-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA051-Über Philosophie, Geschichte und Literatur\GA051 (11.) ACHTER VORTRAG GESCHICHTE DES MITTELALTERS, Berlin, 20. Dezember 1904-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA054-Die Welträtsel und die Anthroposophie\GA054 (8.) BRUDERSCHAFT UND DASEINSKAMPF, Berlin, 23. November 1905-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA055-Die Erkenntnis des Übersinnlichen in unserer Zeit und deren Bedeutung für das heutige Leben\GA055 (2.) BLUT IST EIN GANZ BESONDERER SAFT, Berlin, 25. Oktober 1906-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA056-Die Erkenntnis der Seele und des Geistes\GA056 (14.) DIE HÖLLE, Berlin, 16. April 1908-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA057-Wo und wie findet man den Geist\GA057 (13.) DIE RÄTSEL IN GOETHES «FAUST» EXOTERISCH, Berlin, 11. März 1909-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA060-Antworten der Geisteswissenschaft auf die großen Fragen des Daseins\GA060 (3.) MENSCHENSEELE UND TIERSEELE, Berlin, 10. November 1910-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA061-Menschengeschichte im Lichte der Geistesforschung\GA061 (4.) VON PARACELSUS ZU GOETHE, Berlin, 16. November 1911-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA063-Geisteswissenschaft als Lebensgut\GA063 (9.) VOLTAIRE VOM GESICHTSPUNKTE DER GEISTESWISSENSCHAFT, Berlin, 26. Februar 1914-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA065-Aus dem mitteleuropäischen Geistesleben\GA065 (6.) FAUSTS WELTWANDERUNG UND SEINE WIEDERGEBURT AUS DEM DEUTSCHEN GEISTESLEBEN, Berlin, 3. Februar 1916-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA066-Geist und Stoff, Leben und Tod\GA066 - Geist und Stoff, Leben und Tod (1917)-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA068a-Über das Wesen des Christentums\GA068a (21.) ESOTERISCHES CHRISTENTUM, Düsseldorf, 27. November 1906-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA074-Die Philosophie des Thomas von Aquino\GA074 (3.) DRITTER VORTRAG - DIE BEDEUTUNG DES THOMISMUS IN DER GEGENWART, Dornach, 24. Mai 1920-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA093-Die Tempellegende und die goldene Legende als symbolischer Ausdruck vergangener und zukünftiger Entwickelungsgeheimnisse - alt\GA093 (2.) DER GEGENSATZ VON KAIN UND ABEL, Berlin, 10. Juni 1904-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA093-Die Tempellegende und die goldene Legende als symbolischer Ausdruck vergangener und zukünftiger Entwickelungsgeheimnisse - alt\GA093 (20.) DIE KÖNIGLICHE KUNST IN EINER NEUEN FORM, Berlin, 2. Januar 1906-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA093-Die Tempellegende und die goldene Legende als symbolischer Ausdruck vergangener und zukünftiger Entwickelungsgeheimnisse - alt\GA093 (7.) WESEN UND AUFGABE DER FREIMAUREREI - ERSTER VORTRAG, Berlin, 2. Dezember 1904-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA093a-Grundelemente der Esoterik\GA093a (14.) Berlin, 9. Oktober 1905-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA093a-Grundelemente der Esoterik\GA093a (27.) Berlin, 30. Oktober 1905-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA094-Kosmogonie. Populärer Okkultismus. Das Johannes-Evangelium\GA094 (32.) POPULÄRER OKKULTISMUS, Vierzehnter Vortrag, Leipzig, 11. Juli 1906-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA094-Kosmogonie. Populärer Okkultismus. Das Johannes-Evangelium\GA094 (41.) DIE THEOSOPHIE ANHAND DES JOHANNES-EVANGELIUMS, Sechster Vortrag, München, 4. November 1906-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA095-Vor dem Tore der Theosophie\GA095 (15.) FRAGENBEANTWORTUNG, Stuttgart, 2. September 1906-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA097-Das christliche Mysterium\GA097 (1.) DAS CHRISTLICHE MYSTERIUM, Düsseldorf, 9. Februar 1906-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA097-Das christliche Mysterium\GA097 (18.) DIE DREI EINWEIHUNGSPFADE, Basel, 19. September 1906-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA097-Das christliche Mysterium\GA097 (19.) DER JOGAPFAD, DIE CHRISTLICH-GNOSTISCHE EINWEIHUNG UND DIE ESOTERIK DER ROSENKREUZER, Köln, 30. November 1906-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA097-Das christliche Mysterium\GA097 (2.) DAS RELIGIÖSE WELTBILD DES MITTELALTERS IN DANTES «GÖTTLICHER KOMÖDIE», Düsseldorf, 11. Februar 1906-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA097-Das christliche Mysterium\GA097 (22.) DIE CHRISTLICHE EINWEIHUNG UND DIE ROSENKREUZERSCHULUNG, Wien, 22. Februar 1907-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA097-Das christliche Mysterium\GA097 (5.) DAS JOHANNES-EVANGELIUM, Heidelberg, 3. Februar 1907-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA099-Die Theosophie des Rosenkreuzers\GA099 (11.) ELFTER VORTRAG, München, 4. Juni 1907-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA099-Die Theosophie des Rosenkreuzers\GA099 (14.) VIERZEHNTER VORTRAG, München, 6. Juni 1907-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA100-Menschheitsentwickelung und Christus-Erkenntnis\GA100 (12.) ZWÖLFTER VORTRAG, Kassel, 27. Juni 1907-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA103-Das Johannes-Evangelium\GA103 (11.) ELFTER VORTRAG, HAMBURG, 30. MAI 1908-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA107-Geisteswissenschaftliche Menschenkunde\GA107 (16.) SECHZEHNTER VORTRAG, Berlin, 22. März 1909-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA115-Anthroposophie - Psychosophie - Pneumatosophie\GA115 (8.) VIERTER VORTRAG, Berlin, 4. November 1910-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA118-Das Ereignis der Christus-Erscheinung in der ätherischen Welt\GA118 (3.) INNERE EVOLUTION UND ÄUSSERE ENTWICKELUNGSMÖGLICHKEITEN, Pforzheim, 30. Januar 1910-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA121-Die Mission einzelner Volksseelen im Zusammenhang mit der germanisch-nordischen Mythologie\GA121 (12.) ELFTER VORTRAG, Kristiania, 17. Juni 1910-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA123-Das Matthäus-Evangelium\GA123 (12.) ZWÖLFTER VORTRAG, Bern, 12. September 1910-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA139-Das Markusevangelium (1912)\GA139 (5.) FÜNFTER VORTRAG, Basel, 19. September 1912-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA148 Aus der Akasha-Forschung (1913-1914)\GA148 (18.) Zweiter Vortrag, Köln, 18. Dezember 1913-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA158-Der Zusammenhang des Menschen mit der elementarischen Welt 1\GA158 (8.) SIEBENTER VORTRAG, Hannover, 1. Januar 1912, Neujahrsfeier-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA159-Das Geheimnis des Todes. Wesen und Bedeutung Mitteleuropas und die europäischen Volksgeister\GA159 (11.) CHRISTUS IM VERHÄLTNIS ZU LUZIFER UND AHRIMAN DIE DREIFACHE WESENSGESTALTUNG, Linz, 18. Mai 1915-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA159-Das Geheimnis des Todes. Wesen und Bedeutung Mitteleuropas und die europäischen Volksgeister\GA159 (14.) ERFAHRUNGEN DES MENSCHEN NACH DEM DURCHGANG DURCH DIE TODESPFORTE, Düsseldorf, 17. Juni 1915-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA161-Wege der geistigen Erkenntnis und der Erneuerung künstlerischer Weltanschauung\GA161 (8.) ACHTER VORTRAG, Dornach, 27. März 1915-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA161-Wege der geistigen Erkenntnis und der Erneuerung künstlerischer Weltanschauung\GA161 (9.) NEUNTER VORTRAG, Dornach, 28. März 1915-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA164-Der Wert des Denkens für eine den Menschen befriedigende Erkenntnis\GA164 (6.) ZWEITER VORTRAG, Dornach, 27. September 1915-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA165-Die geistige Vereinigung der Menschheit durch den Christus-Impuls\GA165 (2.) ÜBER ALTE WEIHNACHTSSPIELE UND EINE VERKLUNGENE GEISTESSTRÖMUNG DER MENSCHHEIT, Erster Vortrag, Dornach, 26. Dezember 1915-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA172-Das Karma des Berufes des Menschen in Anknüpfung an Goethes Leben\GA172 (4.) VIERTER VORTRAG, Dornach, 12. November 1916-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA172-Das Karma des Berufes des Menschen in Anknüpfung an Goethes Leben\GA172 (8.) ACHTER VORTRAG, Dornach, 25. November 1916-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA175-Bausteine zu einer Erkenntnis des Mysteriums von Golgatha\GA175 (11.) ELFTER VORTRAG, Berlin, 12. April 1917-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA176-Menschliche und menschheitliche Entwicklungswahrheiten\GA176 (16.) ACHTER VORTRAG, Berlin, 18. September 1917-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA181-Erdensterben und Weltenleben.Anthroposophische Lebensgaben. Bewusstseins-Notwendigkeiten\GA181 (12.) ZWÖLFTER VORTRAG, Berlin, 16. April 1918-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-07-08T19-10-54-269Z\GA014-Vier Mysteriendramen\GA014 (3.) DER HÜTER DER SCHWELLE (1912)-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-07-08T19-10-54-269Z\GA026-Anthroposophische Leitsätze\GA026 (16.) ERSTE BETRACHTUNG VOR DEN TOREN DER BEWUSSTSEINSSEELE WIE MICHAEL SEINE ERDENMISSION DURCH BESIEGUNG LUZIFERS ÜBERIRDISCH VORBEREITET-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-07-08T19-10-54-269Z\GA029-Gesammelte Aufsätze zur Dramaturgie 1889 bis 1900\GA029 (155.) Bühnenbearbeitung-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-07-08T19-10-54-269Z\GA029-Gesammelte Aufsätze zur Dramaturgie 1889 bis 1900\GA029 (49.) Eine Tragödie von J. W. Goethe-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-07-08T19-10-54-269Z\GA029-Gesammelte Aufsätze zur Dramaturgie 1889 bis 1900\GA029 (9.) NACHSCHRIFT-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-07-08T19-10-54-269Z\GA034-Lucifer-Gnosis 1903 bis 1908\GA034 (2.) LUZIFER-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-07-08T19-10-54-269Z\GA034-Lucifer-Gnosis 1903 bis 1908\GA034 (47.) OKKULTE GESCHICHTSFORSCHUNG-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-07-08T19-10-54-269Z\GA034-Lucifer-Gnosis 1903 bis 1908\GA034 (58.) Der theosophische Kongress in London-Christoph_PC.md","backup","TEXT"
